,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
197312,-3.5408,-6.6131,-5.5671,-6.2159,-7.1164,-1.6505,-4.9587,-2.0049,-1.8095,-1.2112,-2.9008,-0.5818,0.1747,0.1636,1.8666,-0.7436,1.2401,5.0633,2.3316,6.026,-1.4351,0.4209,3.892,2.8952,10.4171,0.616666667,1.25
197401,13.3252,19.3925,18.6132,17.7273,22.781,8.2642,13.995,12.1594,11.9609,14.4613,6.6341,6.2849,9.7201,9.7977,12.2482,0.7092,3.6874,4.9556,7.9722,8.3382,-1.0332,2.8697,2.4171,3.6012,1.6028,0.61,0.46
197402,0.0769,0.404,0.7616,0.9414,1.7999,-0.2431,0.8822,1.5308,1.9187,4.0752,-2.859,0.248,1.06,0.7399,2.7844,-3.0905,1.2664,2.1259,1.9288,3.4951,-1.0046,1.3098,1.6077,2.0186,3.4955,0.616666667,0.11
197403,1.5318,0.8385,2.6825,2.2194,3.4441,-0.1061,2.3365,-0.8389,-0.8142,0.5669,-0.257,0.1321,-2.1696,-1.4418,-1.0692,-1.3944,-2.6167,-4.2436,-2.5919,-1.4441,-1.3817,-4.7838,-3.2269,-3.0153,-4.3407,0.59,-2.25
197404,-5.2598,-6.3543,-4.9972,-4.554,-3.2582,-7.4665,-6.1617,-5.9452,-4.0314,-4.0827,-7.0353,-7.5739,-4.9836,-5.912,-2.9508,-7.9645,-6.8762,-6.0519,-6.8683,-1.6959,-4.5006,-5.7717,-6.2923,-7.0798,-5.955,0.63,-4.54
197405,-8.5035,-6.7526,-7.2956,-6.8894,-5.5758,-6.4242,-8.4065,-7.6254,-7.7413,-8.1837,-8.3947,-9.0955,-6.7458,-7.0011,-8.2094,-7.0452,-7.8986,-5.5657,-6.4065,-7.107,-2.3542,-5.2157,-6.3223,-5.5885,-6.427,0.686666667,-3.93
197406,-3.0932,-2.9798,-2.296,-2.4598,-1.5801,-4.2908,-3.2626,-2.7397,-0.6274,-1.2063,-4.7077,-2.8533,-3.6443,-4.1459,-0.7781,-2.6847,-3.8951,-3.9328,-5.353,-3.1691,-2.773,-3.384,-3.3047,-4.7893,-0.5631,0.7,-2.23
197407,-8.4331,-5.1168,-4.9375,-4.2351,-3.9455,-7.3636,-3.6801,-4.0094,-4.0787,-2.8299,-6.7912,-3.2543,-2.3448,-3.2467,0.837,-8.3656,-6.3512,-1.9298,-1.3614,-1.0957,-10.3315,-4.478,-1.4354,-4.4087,-1.5413,0.683333333,-7.35
197408,-8.5302,-7.3444,-8.3253,-7.1703,-7.1421,-9.3398,-10.501,-6.6287,-8.0104,-5.7158,-10.5538,-10.4081,-6.631,-6.5074,-7.3967,-11.6416,-8.6678,-8.5783,-6.9413,-7.3431,-11.2865,-9.7812,-8.8667,-8.0787,-8.2846,0.633333333,-8.75
197409,-12.3602,-8.4122,-6.5572,-6.9309,-7.8509,-12.5107,-6.6676,-8.278,-7.4749,-6.1622,-13.589,-8.6099,-6.7283,-4.6256,-6.7685,-11.4525,-7.5698,-4.7431,-6.6269,-8.5813,-12.8987,-7.641,-5.2363,-4.9083,-6.1566,0.703333333,-10.96
197410,15.4132,6.4945,5.303,7.1135,7.9103,17.091,11.0065,7.8731,8.1476,6.6507,18.9901,11.3531,7.1105,8.7019,9.9086,21.629,12.7509,12.5703,10.0456,9.6098,25.7632,16.4995,16.8405,10.7693,10.9497,0.64,16.61
197411,-6.6222,-6.3604,-5.8459,-5.4429,-6.6778,-5.4674,-4.9287,-3.7224,-5.2462,-6.9343,-5.7665,-4.4241,-3.601,-3.8588,-3.1772,-2.6231,-1.1151,-1.4004,-3.3599,-7.446,-3.4845,-1.4595,-2.9832,-1.9686,-3.6933,0.62,-3.97
