date,Mkt-RF,SMB,HML,RF,Mkt
199406,-3.03,-0.48,1.76,0.31,-2.72
199407,2.82,-1.73,0.58,0.28,3.1
199408,4.01,1.35,-2.81,0.37,4.38
199409,-2.31,2.83,-1.89,0.37,-1.94
199410,1.34,-2.35,-1.76,0.38,1.72
199411,-4.04,0.27,-0.96,0.37,-3.67
199412,0.86,0.04,0.55,0.44,1.3
199501,1.8,-2.65,0.82,0.42,2.22
199502,3.63,-0.67,1.07,0.4,4.03
199503,2.19,-0.71,-1.07,0.46,2.65
199504,2.11,-0.62,2.26,0.44,2.55
199505,2.9,-2.2,1.7,0.54,3.44
199506,2.72,2.93,-2.29,0.47,3.19
199507,3.72,2.09,-1.69,0.45,4.17
199508,0.55,1.58,2.67,0.47,1.02
199509,3.35,-2.06,-0.76,0.43,3.78
199510,-1.52,-3.74,-0.72,0.47,-1.05
199511,3.96,-1.17,0.9,0.42,4.38
199512,1.03,0.56,0.84,0.49,1.52
199601,2.26,-2.68,0.4,0.43,2.69
199602,1.33,1.9,-1.38,0.39,1.72
199603,0.73,1.29,1.03,0.39,1.12
199604,2.06,4.93,-3.91,0.46,2.52
199605,2.36,3.06,-1.19,0.42,2.78
199606,-1.14,-3.6,1.58,0.4,-0.74
199607,-5.97,-3.84,4.47,0.45,-5.52
199608,2.77,2.31,-0.41,0.41,3.18
199609,5.01,-0.9,-3.19,0.44,5.45
199610,0.86,-4.45,5.07,0.42,1.28
199611,6.25,-3.91,1.18,0.41,6.66
199612,-1.7,3.21,0.91,0.46,-1.24
199701,4.98,-1.83,-1.66,0.45,5.43
199702,-0.49,-2.9,5.21,0.39,-0.1
199703,-5.02,-0.38,3.82,0.43,-4.59
199704,4.04,-5.66,-0.07,0.43,4.47
199705,6.74,4.91,-3.87,0.49,7.23
199706,4.1,1.31,1.26,0.37,4.47
199707,7.33,-2.8,0.84,0.43,7.76
199708,-4.15,7.3,1.37,0.41,-3.74
199709,5.35,2.61,0.02,0.44,5.79
199710,-3.8,-0.7,1.99,0.42,-3.38
199711,2.98,-4.95,0.81,0.39,3.37
199712,1.32,-2.36,3.48,0.48,1.8
199801,0.15,-1.15,-1.47,0.43,0.58
199802,7.04,0.01,-0.12,0.39,7.43
199803,4.76,-0.93,1.03,0.39,5.15
199804,0.73,0.22,0.73,0.43,1.16
199805,-3.07,-3.73,4.15,0.4,-2.67
199806,3.18,-3.16,-2.32,0.41,3.59
199807,-2.46,-5.13,-0.96,0.4,-2.06
199808,-16.08,-5.3,3.4,0.43,-15.65
199809,6.15,-0.14,-3.32,0.46,6.61
199810,7.13,-3.3,-2.21,0.32,7.45
199811,6.1,1.08,-3.14,0.31,6.41
199812,6.16,-0.34,-4.46,0.38,6.54
199901,3.5,0.38,-4.03,0.35,3.85
199902,-4.08,-5.67,1.4,0.35,-3.73
199903,3.45,-3.92,-2.65,0.43,3.88
199904,4.33,3.97,2.53,0.37,4.7
199905,-2.46,3.43,2.4,0.34,-2.12
199906,4.77,3.06,-3.59,0.4,5.17
199907,-3.47,2.7,-0.82,0.38,-3.09
199908,-1.38,-1.21,-1.38,0.39,-0.99
199909,-2.81,3.35,-3.44,0.39,-2.42
199910,6.13,-6.89,-2.93,0.39,6.52
199911,3.37,7.43,-6.55,0.36,3.73
199912,7.72,7.2,-8.74,0.44,8.16
200001,-4.74,5.05,-0.45,0.41,-4.33
200002,2.45,22.14,-10.57,0.43,2.88
200003,5.2,-17.28,7.94,0.47,5.67
200004,-6.4,-7.71,8.56,0.46,-5.94
200005,-4.42,-5.01,2.43,0.5,-3.92
200006,4.64,14.03,-10.1,0.4,5.04
200007,-2.51,-2.79,8.14,0.48,-2.03
200008,7.03,-1.13,-0.67,0.5,7.53
200009,-5.45,-1.39,6.25,0.51,-4.94
200010,-2.76,-3.76,5.52,0.56,-2.2
200011,-10.72,-2.79,11.3,0.51,-10.21
200012,1.19,0.97,7.33,0.5,1.69
200101,3.13,6.57,-4.91,0.54,3.67
200102,-10.05,-0.74,12.9,0.38,-9.67
200103,-7.26,0.34,6.46,0.42,-6.84
200104,7.94,0.52,-4.69,0.39,8.33
200105,0.72,2.6,3.14,0.32,1.04
200106,-1.94,6.05,-1.06,0.28,-1.66
200107,-2.13,-4.36,5.59,0.3,-1.83
200108,-6.46,2.49,2.51,0.31,-6.15
200109,-9.25,-6.11,1.59,0.28,-8.97
200110,2.46,7.61,-8.08,0.22,2.68
200111,7.54,-0.43,2.02,0.17,7.71
200112,1.61,4.57,1.1,0.15,1.76
200201,-1.44,1.19,3.31,0.14,-1.3
